place,location,description
Nagzira Wildlife Sanctuary,nagpur," Nagzira Wildlife Sanctuary is a rich biodiversity park located near Nagpur in Maharashtra. The park boasts of a vast variety of flora and fauna and houses exotic species of animals, birds and plants. The park also has a cottage to facilitate accommodation for the visiting guests which in itself is a unique experience. Besides, it has a temple of snakes located right in the centre of the sanctuary. "
Japanese Rose Garden,nagpur," Japanese Rose Garden is a well maintained rose garden in Civil Lines, Nagpur. Besides a vast variety of local and hybrid roses, the park also has umpteen other plants and shrubberies. It is a hot favourite among the locals for morning and evening walks, and day picnics for families and kids. Many photographers also frequent the place to capture its beauty. "
Markanda,nagpur," Markanda, also known as Markanda Mahadev Temple is an ancient temple dedicated to Lord Shiva, which is located in Chamorshi near Nagpur in Maharashtra. The temple complex sprawls over vast acres of land and has several temples in a dilapidated state. Based on its age-old construction and similarities, the temple complex is often referred to as Mini Khajuraho. "
Ram Jhula,nagpur, Ram Jhula is Nagpurês first cable bridge which took 15 years to get constructed. 
Adasa,nagpur," Adasa is a quaint village situated at a distance of 35 kms from Nagpur. Besides the numerous temples and ancient monuments, the place also boasts of immense natural beauty. It is one of the offbeat weekend getaways from Nagpur as well.  "
Ramtek,nagpur," Ramtek is situated around 50 kms from Nagpur and is believed to have been the place where Lord Rama stayed during his exile. Besides the historical and architectural significance, the place is a popular place for a day trip from Nagpur. "
Khekranala,nagpur," Renowned as an ideal trekking destination, Khrekanala is situated at a distance of about 60 kms from the city of Nagpur. A perfect spot to enjoy nature, Khekranala has a beautiful dam on a picturesque blue lake, along with a wide variety of fauna. This place is also famous for various water sporting activities, and when all of the exertions leaves you hungry, check into the MTDC guest house for a stupendous meal. The awes trucking display of nature makes Khrekanla one of the most sought after tourist destinations in Nagpur. "
Dhapewada,nagpur," The small district of Dhapewada, at about 35 kilometer from Nagpur, is famous for the Dhapewada lake and nearby attractions. A major tourist point near Dhapewada is the Vithoba Temple, situated on the banks of river Chandrabhanga. Officially known as the Shri Vitthal- Rukmini Mandir, this temple is dedicated to the devotion of Vithoba, a form of Lord Vishnu and his companion Rakhumai. You can also pay a visit to Lake Khindsy, which resides in the Ramtek Hill nearby. "
Nagardhan Fort,nagpur," Situated at a distance of about 50 kilometers from Nagpur, the erstwhile Nandivardhan was the first capital of the ancient dynasty of  Vakatakas. A small fort, this place is said to have been built for the purpose of defending Nagpur's easternmost provinces from a possible enemy attack. Nagardhan fort is square in shape with an outer battlement and an inner wall that surrounds the fort. Interestingly, this place has an underground temple, where an Idol of Goddess Durga is placed on what appears to be a sill of a structure shaped like a well. "
Navegaon National Park,nagpur," One of the most famous tourist destinations near Nagpur, Navegaon National Park is located at a distance of about  140 kilometres from Nagpur. Apart from providing for a jeep safari and housing a huge variety of wildlife species, there are various other attractions to visit Navegaon. Right at the centre is the Navegaon Dam, which is said to have been built around the eighteenth century. Catch a panoramic view of the entire park, atop the watchtower in the middle of the lake. You can also enjoy a boat ride in the lake. If you are a bird lover, do pay a visit to Dr Salim Ali Bird Sanctuary. The library and museum contain the entire history and whereabouts of this place. "
Rajwada,indore," Considered to be the most eminent tourist attraction in Indore, the majestic Rajwaada Palace's sheer grandeur and opulence is known the world over. A 200-years old 7-storey building, the palace has a well-laid garden with fountains and an artificial waterfall. "
Lal Bagh Palace,indore," Resided by the rulers of the Holkar dynasty, the Lal Bagh Palace is class and grandeur personified. The palace is spread on a sprawling area of 28 acres and reflects the taste of the rulers of the Holkar dynasty. "
Khajrana Temple,indore, The Khajrana Ganesh temple is one of the most powerful shrines of the Lord Ganesha. It was built by Rani Ahilyabai Holkar to safeguard the idol of Lord Ganesha from Aurangzeb. The temple has since grown from being housed in a small hut to a big temple with large inner and outer sanctums. Vinayak Chaturthi is celebrated in a big way in the temple. 
Sarafa Bazaar,indore," The lip-smacking flavours of the food stalls in Sarafa Bazaar are a testimony to Indore's legendary love affair with food. Entertaining over 3000 visitors every day, the Sarafa Bazaar houses stalls that sell vividly coloured artificial jewellery, brass ornaments and mouth-watering dishes of the diverse cuisine of Indore. There are more than 50 dishes available here at extremely low rates. "
Indore Museum,indore," Exhibiting artefacts dating as far back to the prehistoric era, as well as recent findings from the modern era, the Central Museum of Indore is a history buff's paradise. The museum also houses mythological carvings, coins from different ages, arms of various eras and sculptures dating back to the 11th century. Be sure to check the rare dried botanical creatures on display too! "
Patalpani Waterfalls,indore, The Patalpani Waterfall is located in the Mhow Tehsil of Indore district and is a popular picnic spot for the locals of the area. Surrounded by dense forest covers and majestic hills Patalpani plummets from a height of 300 metres.  The monsoons swell the falls and may make it risky for close encounters causing accidents. It is best to maintain a cautious distance from the waterfall during the rain. 
"Annapurna Temple, Indore",indore," The Annapurna Temple, besides being a place for pilgrimages is also a tourist attraction. Dedicated to Goddess Annapurna, the deity of food the temple also houses the shrines of Sivan, Hanuman and Kalabhairava. "
Ralamandal Wildlife Sanctuary,indore," The oldest sanctuary of Madhya Pradesh, the Ralamandal Wildlife Sanctuary packs a treat for wildlife and avifauna enthusiasts alike. The River Narmada, which is 150 million years older than River Ganga, graces the sanctuary with its presence. Home to deer, wild hare, tigers and an umpteen variety of birds, this sanctuary is nothing short of paradise. "
Chhappan Dukan,indore," Chhappan Dukaan is one of Indore's choicest street food hubs that serve specials, chaat, idli and dosa with equal gusto. Chhappan Dukaan literally means fifty-six shops. At the time when it was established, 56 separate shops were started here, all selling food items. The evenings light the place up like nothing else with people consuming the delectable spread with enthusiasm. "
Choral Dam,indore," Located in the state of Madhya Pradesh, Choral Dam is a hidden gem that will definitely provide you with quietness and tranquility. Constructed around the backwaters of River Narmada, Choral Dam is replete with cool and clear water. A large number of lush green trees and small hills surround the place making it even more attractive. This place is full of jovial water activities that will interest young and old alike.  "
Tincha Falls,indore," Located 25 kilometres from the bustling city of Indore, Tincha Falls are one of the most popular waterfalls in the region. The milky white cascade is located in the Tincha village, also where the falls derive their name from. The roaring plunge of water at a height of 300 feet is a rain fed waterfall and is primarily a monsoon destination.  "
Indore White Church,indore," A peek into the impact of British autonomy on Indore pre-independence, the Indore White Church is one of the most significant points of interest of the city. A testimony to awe-striking European architecture, the entire structure is made of milk white stone and marble. To witness the church in all its glory during Christmas, decorated from head to toe, is a sight for sore eyes. "
Janapav,indore," Nestled among similar hills of the Malwa region, Janapav or Janapav Kuti is the ideal getaway for lovers of nature and trekkers alike. If you’re looking to traverse through twisty bends in Central Indian forests while peacefully gazing over distant hills and the crimson sunset, this hill station should be your destination. Located on the Mumbai-Indore highway and in the Mhow Tehsil of Indore district, Janapav experiences footfall from all areas of the country throughout the year, especially during monsoons. "
